Trinity_ID	SA23	SA31	SA80	SA4_S2	SA5_S3	SA7_S6	SA9_S7	SA11_S9
TRINITY_DN9594_c0_g1_i9	-0.69968822905581	-0.69968822905581	-0.69968822905581	0.366573213212911	-0.69968822905581	3.04328807825511	0.0885798538110267	-0.69968822905581
TRINITY_DN7875_c0_g1_i18	-0.731897034877567	-0.731897034877567	-0.731897034877567	1.22006369390356	-0.731897034877567	1.3630146121479	1.04925281683264	-0.70474298337384
TRINITY_DN2645_c0_g1_i11	1.52496129607452	1.10026213752362	1.60644532665412	-3.22821533124761	2.38831880983184	-3.22821533124761	-3.22821533124761	3.06465842365872
TRINITY_DN4768_c0_g1_i11	1.26271672119903	1.04901780915053	1.12670944117705	-1.9619410129217	1.15442374377008	-1.9619410129217	-1.9619410129217	1.29295532346841
TRINITY_DN7022_c0_g1_i28	0.53672413827737	0.438030914409308	0.467328848781384	-1.56088665834905	2.07114884563437	-1.56088665834905	-1.56088665834905	1.16942722794472
TRINITY_DN9779_c0_g1_i5	-0.547332328610679	-0.547332328610679	-0.547332328610679	1.06714195422702	-0.547332328610679	1.54148770468791	0.128031984138467	-0.547332328610679
TRINITY_DN3846_c2_g1_i4	-1.02780838660606	-1.02780838660606	-1.02780838660606	2.52309227804147	-1.02780838660606	2.30861783528066	0.307331819708157	-1.02780838660606
TRINITY_DN877_c0_g1_i1	-1.49558997532327	-1.49558997532327	-1.41971510834814	2.92334204766398	-1.49558997532327	4.00715432976788	0.471578632209358	-1.49558997532327
TRINITY_DN6132_c0_g1_i12	-1.63671426647495	-1.63671426647495	-1.63671426647495	3.3031234932327	-1.43382643300481	3.06710627177208	1.61045373389982	-1.63671426647495
TRINITY_DN3776_c0_g1_i4	-0.310651131518548	-0.310651131518548	-0.310651131518548	0.811690276007572	-0.310651131518548	0.165471288361605	0.576094093223561	-0.310651131518548
TRINITY_DN9433_c0_g1_i16	1.08737550771425	0.478925131091766	0.470838470159657	-1.43065598488792	0.952564448477739	-1.43065598488792	-1.43065598488792	1.30226439722034
TRINITY_DN8392_c0_g2_i4	0.712008437514734	0.0479652579078904	0.421028123606705	-1.44568207606732	1.39508326125655	-1.44568207606732	-1.44568207606732	1.76096114791608
TRINITY_DN520_c0_g1_i1	-1.10328622791625	-1.10328622791625	-1.10328622791625	2.18920106370452	-1.10328622791625	1.90444749212538	1.42278258375134	-1.10328622791625
TRINITY_DN2522_c0_g1_i9	1.29422868919803	0.718188860714955	-0.213954052039913	-1.86701406914448	1.73158934224606	-1.86701406914448	-1.86701406914448	2.07098936731429
TRINITY_DN8962_c0_g1_i30	-0.878323122228379	-0.876881148054473	-0.878323122228379	1.07996277869488	-0.878323122228379	1.92820716703119	1.38200369124192	-0.878323122228379
TRINITY_DN10768_c0_g1_i3	-0.474943955745508	-0.474943955745508	-0.474943955745508	0.40083610732298	-0.474943955745508	1.19362906073038	0.780254610674181	-0.474943955745508
TRINITY_DN72_c1_g2_i2	0.570906233267173	1.20855813087133	0.829686887741537	-1.64384028941522	0.851343188493113	-1.64384028941522	-1.64384028941522	1.47102642787251
TRINITY_DN12240_c0_g1_i21	-0.496995200615059	-0.496995200615059	-0.496995200615059	0.915515370634746	-0.496995200615059	1.35100170593989	0.218458926500659	-0.496995200615059
TRINITY_DN2522_c0_g1_i4	1.18906507335434	-0.1623336950555	0.733541434644048	-1.41571793085557	1.49117266475294	-1.41571793085557	-1.41571793085557	0.99570831487089
TRINITY_DN2546_c0_g1_i6	-1.39964542616449	-1.39964542616449	-1.39964542616449	2.03678296188807	-1.39964542616449	2.575434428223	2.38600974071138	-1.39964542616449
TRINITY_DN5132_c0_g1_i4	-0.192105132010647	-0.192105132010647	-0.19066315783674	0.144749507114819	-0.192105132010647	0.472377708354036	0.341956470410472	-0.192105132010647
TRINITY_DN5949_c0_g1_i2	-1.28273922285376	-1.28273922285376	-1.28273922285376	2.18179835933227	-1.28273922285376	2.13612535453656	2.09577240039997	-1.28273922285376
TRINITY_DN2904_c0_g1_i11	-1.05916875407161	-1.05916875407161	-1.05916875407161	2.08455117702331	-1.05916875407161	2.8770451469348	0.334247446399936	-1.05916875407161
TRINITY_DN2336_c0_g1_i15	-1.33676321379048	-1.33676321379048	-1.33676321379048	2.4520268848728	-1.33676321379048	1.63611321131662	2.59567597276299	-1.33676321379048
TRINITY_DN8392_c0_g2_i2	-1.1114411915793	-1.1114411915793	-1.1114411915793	2.06950228810748	-1.1114411915793	1.79178993931071	1.69591373047831	-1.1114411915793
TRINITY_DN5282_c0_g1_i7	-1.77880969160446	-1.77880969160446	-1.77880969160446	2.22739855383104	-1.77880969160446	3.78730525061261	2.87934465357863	-1.77880969160446
TRINITY_DN2939_c0_g1_i28	-1.5500411311009	-1.5500411311009	-1.5500411311009	1.73935072169673	-1.5500411311009	2.79308238830095	3.21777254550684	-1.5500411311009
TRINITY_DN145_c0_g1_i7	-0.440280792135196	-0.440280792135196	-0.440280792135196	1.08227720073524	-0.440280792135196	0.148523774880354	0.970602985060385	-0.440280792135196
TRINITY_DN10936_c0_g2_i1	-0.61221678920153	-0.61221678920153	-0.61221678920153	1.52068902280998	-0.61221678920153	1.26041500193372	0.279979921263955	-0.61221678920153
